Domanda,Risposta
Qual era la situazione economica della Francia prima della Rivoluzione francese?,"Prima della Rivoluzione, la Francia affrontava una grave crisi economica dovuta a un forte debito accumulato dalle guerre precedenti, come la Guerra dei Sette Anni e il sostegno alla Rivoluzione americana. Il sistema fiscale era iniquo, poiché solo il Terzo Stato pagava le tasse, mentre clero e nobiltà ne erano esentati. Inoltre, le carestie e l’aumento dei prezzi aggravavano le condizioni di vita della popolazione più povera."
Chi era Maria Antonietta e come fu percepita dal popolo francese?,"Maria Antonietta, moglie di Luigi XVI e regina di Francia, era vista dal popolo come simbolo del lusso e dello spreco della monarchia. Austriaca di nascita, fu spesso accusata di favoritismi verso il suo paese d’origine e di insensibilità verso i problemi del popolo. Il suo celebre (ma probabilmente apocrifo) 'Se non hanno pane, che mangino brioche' divenne emblema della distanza tra la corte e il popolo."
Cosa accadde durante la marcia su Versailles del 5-6 ottobre 1789?,"Durante la marcia su Versailles, migliaia di donne, affiancate da alcuni uomini, marciarono da Parigi a Versailles per protestare contro la scarsità di pane e chiedere al re di trasferirsi a Parigi. L’episodio costrinse Luigi XVI e la sua famiglia a stabilirsi nel Palazzo delle Tuileries, ponendoli sotto il controllo diretto del popolo parigino e segnando un’importante vittoria per il movimento rivoluzionario."
Cosa fu la Costituzione del 1791?,"La Costituzione del 1791 fu la prima costituzione scritta della Francia e trasformò la monarchia assoluta in una monarchia costituzionale. Essa stabiliva la separazione dei poteri, il suffragio censitario e riconosceva la libertà di stampa e di religione. Tuttavia, lasciava ancora molti privilegi ai più ricchi e non soddisfece le aspettative dei gruppi più radicali."
Come reagirono le monarchie europee alla Rivoluzione francese?,"Le monarchie europee reagirono con preoccupazione e ostilità alla Rivoluzione francese, temendo che le idee rivoluzionarie potessero diffondersi nei loro territori. Austria e Prussia formarono coalizioni militari contro la Francia rivoluzionaria. Questa minaccia esterna fu una delle ragioni dell’instaurazione del Terrore, poiché si temeva la presenza di nemici interni pronti a collaborare con i sovrani stranieri."
Cosa successe durante la fuga di Varennes?,"Il 20-21 giugno 1791, Luigi XVI tentò di fuggire da Parigi con la sua famiglia per raggiungere truppe fedeli e organizzare una controrivoluzione. Tuttavia, fu riconosciuto e arrestato a Varennes, per poi essere riportato a Parigi. Questo evento distrusse la fiducia del popolo nella sincerità del re e accelerò il processo verso l’abolizione della monarchia."
Cos’è il suffragio censitario e perché fu introdotto?,"Il suffragio censitario è un sistema elettorale in cui il diritto di voto è riservato ai cittadini che pagano una certa quantità di tasse. Fu introdotto dalla Costituzione del 1791 in Francia per limitare la partecipazione politica alle classi più abbienti, escludendo la maggior parte del popolo. Questo sistema fu criticato dai rivoluzionari più radicali, che chiedevano il suffragio universale."
Chi erano i sanculotti e quale ruolo ebbero nella Rivoluzione francese?,"I sanculotti erano cittadini delle classi popolari urbane, soprattutto artigiani e lavoratori parigini, che sostenevano le idee rivoluzionarie più radicali. Vestivano pantaloni lunghi invece dei calzoni corti della nobiltà, da cui il nome. Essi ebbero un ruolo fondamentale nelle insurrezioni più violente, influenzarono i Giacobini e contribuirono all’instaurazione della Repubblica e alla caduta della monarchia."
Cosa accadde il 21 gennaio 1793?,"Il 21 gennaio 1793, Luigi XVI fu giustiziato con la ghigliottina a Place de la Révolution a Parigi, dopo essere stato dichiarato colpevole di alto tradimento dalla Convenzione Nazionale. La sua esecuzione rappresentò la fine simbolica dell’Ancien Régime e l’inizio della fase più radicale della Rivoluzione, con la proclamazione della Repubblica e la repressione dei nemici interni."
Cos’è la Convenzione Nazionale e quale fu il suo ruolo?,"La Convenzione Nazionale fu l’assemblea eletta nel 1792 che abolì la monarchia e proclamò la Repubblica. Ebbe il compito di redigere una nuova costituzione e gestire il paese in un momento di grave crisi interna ed esterna. Fu durante il suo governo che si verificò il periodo del Terrore. La Convenzione rimase in carica fino al 1795, quando fu sostituita dal Direttorio."
